Variable,Hand Movement MED_Level,Hand Movement MED_Coefficient,Hand Movement MED_Percentage_Change,Hand Movement MED_Percentage_Change_CI_Lower,Hand Movement MED_Percentage_Change_CI_Upper,Hand Movement MED_P_Value,Hand Movement MED_P_Value_Formatted,Hand Movement MED_CI_Lower,Hand Movement MED_CI_Upper,Bonferroni_Corrected_Alpha,Significant_After_Bonferroni,Data_Points_Analyzed
meanamplitude,ON,0.03,6.59,3.33,9.85,7.443160560237278e-05,7.44e-05,0.015,0.045,0.0025,Yes,1126
stdamplitude,ON,0.0,0.39,-4.41,5.19,0.8725519717488013,0.873,-0.005,0.006,0.0025,No,1126
meanrmsvelocity,ON,0.389,13.34,10.01,16.68,4.522401620312701e-15,<1e-10,0.292,0.487,0.0025,Yes,1126
stdrmsvelocity,ON,0.054,7.78,2.73,12.84,0.0025584714778253627,0.003,0.019,0.09,0.0025,No,1126
meanopeningspeed,ON,0.337,14.48,11.0,17.95,3.143035788241671e-16,<1e-10,0.256,0.418,0.0025,Yes,1126
stdopeningspeed,ON,0.071,10.16,5.41,14.92,2.8004986189473493e-05,2.80e-05,0.038,0.105,0.0025,Yes,1126
meanclosingspeed,ON,0.295,12.8,8.52,17.08,4.527594459281029e-09,4.53e-09,0.196,0.394,0.0025,Yes,1126
stdclosingspeed,ON,0.085,11.26,6.53,16.0,3.1612720525743916e-06,3.16e-06,0.049,0.12,0.0025,Yes,1127
meancycleduration,ON,-1.021,-52.23,-156.58,52.12,0.32658741450076023,0.327,-3.06,1.019,0.0025,No,1127
stdcycleduration,ON,-0.018,-15.78,-21.49,-10.07,6.131279927746319e-08,6.13e-08,-0.024,-0.011,0.0025,Yes,1128
rangecycleduration,ON,-0.092,-18.34,-28.18,-8.51,0.00025747312607199397,2.57e-04,-0.141,-0.043,0.0025,Yes,1126
amplitudedecay,ON,-0.022,-1.91,-5.13,1.3,0.24404212747459286,0.244,-0.059,0.015,0.0025,No,1126
velocitydecay,ON,-0.039,-3.43,-6.18,-0.67,0.01485437237108208,0.015,-0.07,-0.008,0.0025,No,1126
ratedecay,ON,-0.029,-2.78,-5.37,-0.2,0.03460930702410703,0.035,-0.056,-0.002,0.0025,No,1126
cvamplitude,ON,-0.021,-7.36,-13.24,-1.48,0.014220239604238023,0.014,-0.038,-0.004,0.0025,No,1126
cvcycleduration,ON,-0.017,-6.99,-11.98,-2.0,0.006003093049756972,0.006,-0.029,-0.005,0.0025,No,1127
rate,ON,0.213,10.03,6.74,13.33,2.4171358776739653e-09,2.42e-09,0.143,0.283,0.0025,Yes,1126
meanspeed,ON,0.147,13.52,9.89,17.14,2.8527499585819243e-13,<1e-10,0.108,0.187,0.0025,Yes,1126
stdspeed,ON,0.029,9.96,4.88,15.04,0.0001212718799623443,1.21e-04,0.014,0.044,0.0025,Yes,1126
cvspeed,ON,-0.016,-5.62,-10.46,-0.78,0.02273609145635135,0.023,-0.031,-0.002,0.0025,No,1126
